#string_protein_id,0
9606.ENSP00000206765,7051
9606.ENSP00000207157,6913
9606.ENSP00000207457,27285
9606.ENSP00000207549,201294
9606.ENSP00000207870,9942
9606.ENSP00000209540,126370
9606.ENSP00000209668,124
9606.ENSP00000209718,25984
9606.ENSP00000209728,990
9606.ENSP00000209873,200440;8086
9606.ENSP00000209875,23468
9606.ENSP00000209884,27252
9606.ENSP00000209929,2327
9606.ENSP00000210060,1725
9606.ENSP00000210187,25837
9606.ENSP00000210313,5711
9606.ENSP00000210444,54187
9606.ENSP00000210633,57715
9606.ENSP00000211076,23430
9606.ENSP00000211122,2940
9606.ENSP00000211287,5603
9606.ENSP00000211314,28978
9606.ENSP00000211413,80863
9606.ENSP00000211936,7738
9606.ENSP00000211998,7414
9606.ENSP00000212015,23411
9606.ENSP00000212355,7049
9606.ENSP00000214869,11018
9606.ENSP00000215057,7593
9606.ENSP00000215061,79629
9606.ENSP00000215071,5714
9606.ENSP00000215095,112755
9606.ENSP00000215368,1943
9606.ENSP00000215375,513
9606.ENSP00000215530,27006
9606.ENSP00000215531,284422
9606.ENSP00000215565,4713
9606.ENSP00000215567,9524
9606.ENSP00000215570,26517
9606.ENSP00000215574,997
9606.ENSP00000215582,126353
9606.ENSP00000215631,4616
9606.ENSP00000215637,8174
9606.ENSP00000215659,6300
9606.ENSP00000215727,151580;3053
9606.ENSP00000215730,9342
9606.ENSP00000215739,8216
9606.ENSP00000215742,80764
9606.ENSP00000215743,4320
9606.ENSP00000215754,4282
9606.ENSP00000215770,100037417
9606.ENSP00000215781,5008
9606.ENSP00000215793,10291
9606.ENSP00000215794,11274
9606.ENSP00000215812,266629
9606.ENSP00000215829,6634
9606.ENSP00000215832,5594
9606.ENSP00000215838,6948
9606.ENSP00000215855,1417
9606.ENSP00000215862,22880
9606.ENSP00000215882,6576
9606.ENSP00000215885,50487
9606.ENSP00000215886,3957
9606.ENSP00000215904,57026
9606.ENSP00000215906,57168
9606.ENSP00000215909,3956
9606.ENSP00000215912,113791
9606.ENSP00000215917,402055
9606.ENSP00000215939,1414
9606.ENSP00000215941,129138
9606.ENSP00000215957,85377
9606.ENSP00000215980,79019
9606.ENSP00000216024,11144
9606.ENSP00000216027,150274
9606.ENSP00000216034,56993
9606.ENSP00000216036,27156
9606.ENSP00000216037,7494
9606.ENSP00000216038,51493
9606.ENSP00000216039,9929
9606.ENSP00000216044,9567
9606.ENSP00000216068,10126
9606.ENSP00000216071,25770
9606.ENSP00000216075,55586
9606.ENSP00000216085,25807
9606.ENSP00000216099,140564
9606.ENSP00000216101,10633
9606.ENSP00000216106,10042;604703
9606.ENSP00000216115,638
9606.ENSP00000216117,3162
9606.ENSP00000216121,8508
9606.ENSP00000216122,4174
9606.ENSP00000216124,410
9606.ENSP00000216127,23551
9606.ENSP00000216129,23170
9606.ENSP00000216133,23492
9606.ENSP00000216139,49
9606.ENSP00000216144,164633
9606.ENSP00000216160,10454
9606.ENSP00000216177,150379
9606.ENSP00000216180,80339
9606.ENSP00000216181,4627
9606.ENSP00000216185,25828
9606.ENSP00000216190,8664
9606.ENSP00000216200,5816
9606.ENSP00000216211,7380
9606.ENSP00000216214,55007
9606.ENSP00000216218,6767
9606.ENSP00000216223,3560
9606.ENSP00000216225,9978
9606.ENSP00000216237,83746
9606.ENSP00000216241,150356
9606.ENSP00000216252,84844
9606.ENSP00000216254,50
9606.ENSP00000216259,5372
9606.ENSP00000216264,64781
9606.ENSP00000216267,23774
9606.ENSP00000216268,9889
9606.ENSP00000216271,83933
9606.ENSP00000216274,11035
9606.ENSP00000216277,10914
9606.ENSP00000216286,22795
9606.ENSP00000216294,6617
9606.ENSP00000216297,11198
9606.ENSP00000216330,2287
9606.ENSP00000216336,1511
9606.ENSP00000216338,2999
9606.ENSP00000216341,3002
9606.ENSP00000216366,11154
9606.ENSP00000216367,5427
9606.ENSP00000216373,6655
9606.ENSP00000216392,5836
9606.ENSP00000216410,64841
9606.ENSP00000216416,10175
9606.ENSP00000216420,10668
9606.ENSP00000216442,51382
9606.ENSP00000216446,26499
9606.ENSP00000216452,5283
9606.ENSP00000216455,5684
9606.ENSP00000216465,2954
9606.ENSP00000216468,283578
9606.ENSP00000216471,161394
9606.ENSP00000216479,10598
9606.ENSP00000216484,9517
9606.ENSP00000216487,79890
9606.ENSP00000216489,8846
9606.ENSP00000216492,1113
9606.ENSP00000216500,51635
9606.ENSP00000216513,51804
9606.ENSP00000216540,6554
9606.ENSP00000216554,1983
9606.ENSP00000216602,79038
9606.ENSP00000216605,133250;4522
9606.ENSP00000216629,623
9606.ENSP00000216639,7443
9606.ENSP00000216714,328;600205
9606.ENSP00000216727,257950;8106
9606.ENSP00000216733,10278
9606.ENSP00000216756,51550
9606.ENSP00000216780,5106
9606.ENSP00000216797,4792
9606.ENSP00000216802,5721
9606.ENSP00000216807,84312
9606.ENSP00000216832,5411
9606.ENSP00000216862,1591;600125
9606.ENSP00000216911,602687;6790
9606.ENSP00000216923,55734
9606.ENSP00000216951,2937
9606.ENSP00000216962,5834
9606.ENSP00000216968,10544
9606.ENSP00000217026,310305;4605
9606.ENSP00000217043,140902
9606.ENSP00000217086,102490;57167
9606.ENSP00000217109,1477
9606.ENSP00000217121,7165
9606.ENSP00000217131,1522
9606.ENSP00000217133,81027
9606.ENSP00000217159,28231
9606.ENSP00000217169,79444
9606.ENSP00000217173,22888
9606.ENSP00000217182,1917
9606.ENSP00000217188,6725
9606.ENSP00000217195,54976
9606.ENSP00000217233,57761
9606.ENSP00000217244,1457
9606.ENSP00000217246,140733
9606.ENSP00000217254,113278
9606.ENSP00000217260,343637
9606.ENSP00000217270,128674
9606.ENSP00000217289,55612
9606.ENSP00000217320,140711
9606.ENSP00000217372,51654
9606.ENSP00000217381,6640
9606.ENSP00000217386,5020
9606.ENSP00000217402,128866
9606.ENSP00000217407,3929
9606.ENSP00000217420,140679
9606.ENSP00000217423,1472
9606.ENSP00000217426,191
9606.ENSP00000217428,10816
9606.ENSP00000217446,128869
9606.ENSP00000217455,10005
9606.ENSP00000217456,57136
9606.ENSP00000217515,9352
9606.ENSP00000217652,10627
9606.ENSP00000217740,54941
9606.ENSP00000217901,3421
9606.ENSP00000217909,203427
9606.ENSP00000217939,25878
9606.ENSP00000217958,5716;603480
9606.ENSP00000217961,412
9606.ENSP00000217964,6907
9606.ENSP00000217971,10857
9606.ENSP00000217999,158800;300058;600344
9606.ENSP00000218004,55916
9606.ENSP00000218006,2986
9606.ENSP00000218008,23439
9606.ENSP00000218068,9506
9606.ENSP00000218075,2742
9606.ENSP00000218089,10735;604359
9606.ENSP00000218099,2158
9606.ENSP00000218104,215
